sample no_occurences quality_scores
total_map_quality.txt X1040T 39520
total_map_quality.txt X1040T 6875
total_map_quality.txt X1040T 53553
total_map_quality.txt X1040T 71683
total_map_quality.txt X1040T 93976
total_map_quality.txt X1040T 83406
total_map_quality.txt X1040T 155644
total_map_quality.txt X1040T 304041
total_map_quality.txt X1040T 10139
total_map_quality.txt X1040T 931266
total_map_quality.txt X1040T 6839
total_map_quality.txt X1040T 6358
total_map_quality.txt X1040T 51318
total_map_quality.txt X1040T 16314
total_map_quality.txt X1040T 19581
total_map_quality.txt X1040T 3454
total_map_quality.txt X1040T 53816
total_map_quality.txt X1040T 7222
total_map_quality.txt X1040T 7547
total_map_quality.txt X1040T 15176
total_map_quality.txt X1040T 25348
total_map_quality.txt X1040T 6309
total_map_quality.txt X1040T 68257
total_map_quality.txt X1040T 11395
total_map_quality.txt X1040T 1093002
total_map_quality.txt X1040T 13837
total_map_quality.txt X1040T 47586
total_map_quality.txt X1040T 38073
total_map_quality.txt X1040T 32944
total_map_quality.txt X1040T 107788
total_map_quality.txt X1040T 54870
total_map_quality.txt X1040T 133086
total_map_quality.txt X1040T 187937
total_map_quality.txt X1040T 174092
total_map_quality.txt X1040T 12305
total_map_quality.txt X1040T 787345
total_map_quality.txt X1040T 45097
total_map_quality.txt X1040T 75940
total_map_quality.txt X1040T 24697
total_map_quality.txt X1040T 44174
total_map_quality.txt X1040T 99855
total_map_quality.txt X1040T 7784
total_map_quality.txt X1040T 164401
total_map_quality.txt X1040T 10149
total_map_quality.txt X1040T 18215
total_map_quality.txt X1040T 19536
total_map_quality.txt X1040T 117015188
total_map_quality.txt X1040T 28769
total_map_quality.txt X1040T 13861
total_map_quality.txt X1040T 58631
total_map_quality.txt X106N 5225479
total_map_quality.txt X106N 21278
total_map_quality.txt X106N 28444
total_map_quality.txt X106N 8665
total_map_quality.txt X106N 19006
total_map_quality.txt X106N 24729
total_map_quality.txt X106N 8212
total_map_quality.txt X106N 44523
total_map_quality.txt X106N 13139
total_map_quality.txt X106N 18603
total_map_quality.txt X106N 20644
total_map_quality.txt X106N 33828
total_map_quality.txt X106N 6099
total_map_quality.txt X106N 46126
total_map_quality.txt X106N 64063
total_map_quality.txt X106N 80452
total_map_quality.txt X106N 73351
total_map_quality.txt X106N 135798
total_map_quality.txt X106N 260990
total_map_quality.txt X106N 8719
total_map_quality.txt X106N 813283
total_map_quality.txt X106N 5710
total_map_quality.txt X106N 5603
total_map_quality.txt X106N 45101
total_map_quality.txt X106N 15091
total_map_quality.txt X106N 17306
total_map_quality.txt X106N 2909
total_map_quality.txt X106N 46613
total_map_quality.txt X106N 6265
total_map_quality.txt X106N 6524
total_map_quality.txt X106N 14237
total_map_quality.txt X106N 21990
total_map_quality.txt X106N 5853
total_map_quality.txt X106N 59410
total_map_quality.txt X106N 10230
total_map_quality.txt X106N 959704
total_map_quality.txt X106N 13096
total_map_quality.txt X106N 42381
total_map_quality.txt X106N 33070
total_map_quality.txt X106N 30437
total_map_quality.txt X106N 93162
total_map_quality.txt X106N 50369
total_map_quality.txt X106N 119909
total_map_quality.txt X106N 162646
total_map_quality.txt X106N 161424
