Chromosome Arm	X1032	X103	X1040	X106	X1097	X1098	X1172	X1177	X1192	X1196	X119	X120	X1230	X1237	X1265	X1269	X1283	X128	X1326	X1341	X1364	X137	X1410	X1419	X1471	X1499	X1530	X1548	X1552	X1568	X1580	X1582	X1593	X1605	X1634	X1652	X1677	X1689	X1718	X1751	X1851	X1922	X1928	X1979	X2090	X2120	X2152	X2176	X2212	X2316	X2354	X2357	X2360	X2362	X2374	X23	X2401	X2412	X2415	X2429	X2438	X2443	X2503	X2529	X2554	X2556	X2577	X2587	X2593	X2638	X2648	X2665	X2700	X2704	X2716	X2763	X2773	X2797	X2816	X2825	X2890	X2902	X2949	X2991	X2998	X300	X301	X3056	X3059	X3080	X3107	X3144	X3151	X3225	X3238	X3297	X3349	X3391	X342	X356	X429	X451	X472	X544	X592	X603	X655	X736	X80	X860	X88	X935	X93	X94	X970	X987	X991
6p	0.000	0.000	0.000	0.000	0.445	0.274	0.000	0.478	1.096	-0.917	1.089	-0.570	-0.389	0.000	-0.885	0.548	-0.278	0.636	0.000	0.000	0.271	0.000	0.000	-0.816	0.869	-0.658	-0.392	-0.811	0.000	0.000	0.000	0.000	0.442	0.000	0.000	0.710	0.000	0.345	0.000	0.302	0.445	2.317	0.000	-0.353	0.820	0.598	0.000	0.000	0.000	0.000	0.022	0.000	0.714	1.338	0.316	0.000	0.000	0.000	-0.606	1.033	0.000	0.000	0.304	0.372	0.000	0.000	0.000	0.000	0.000	0.474	0.554	0.502	0.000	0.000	0.275	0.000	0.000	0.586	0.000	-0.430	0.000	0.612	1.545	-0.399	0.000	-0.614	0.371	0.000	0.266	0.000	1.169	0.000	0.000	0.608	0.924	0.000	0.000	0.335	0.000	0.000	0.000	-0.390	0.000	0.000	0.715	0.000	0.693	0.000	-0.202	0.000	0.000	0.277	0.000	-1.293	0.000	0.379	-0.396
6q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.056	-0.090	-0.917	0.644	-0.570	-0.389	0.000	-0.885	0.817	-0.278	0.000	0.000	0.000	-0.174	-0.433	0.000	-0.816	-0.820	-0.658	-0.392	-0.811	-0.311	0.000	0.000	-0.817	0.000	0.000	0.000	0.000	0.000	0.345	0.000	0.557	0.000	0.000	-0.726	-0.353	0.820	0.000	0.000	0.000	0.000	-0.289	-0.306	0.000	0.000	1.338	0.316	-0.430	-0.371	0.000	-0.606	1.033	0.000	0.000	0.304	0.000	0.000	-0.314	0.000	0.000	0.000	0.474	0.554	0.000	0.000	0.000	0.000	-0.617	0.000	0.586	0.000	-0.430	0.000	0.000	0.600	-0.399	-0.310	-0.614	-0.387	0.000	0.266	-0.715	1.169	0.000	0.000	0.608	-0.476	-0.338	0.399	0.335	0.000	0.000	0.000	-0.390	0.000	-0.589	0.000	0.000	-0.630	-0.485	-0.701	0.000	0.000	0.277	0.000	-1.293	-0.809	0.379	-0.396
7p	0.000	-0.771	0.000	0.000	0.151	0.000	-0.808	-0.042	0.526	0.000	0.306	-0.352	0.000	0.000	0.000	0.431	0.000	0.292	0.000	0.000	0.265	-0.492	0.000	0.000	0.000	0.586	0.000	0.000	-0.401	-0.550	0.000	0.000	0.748	0.686	-0.275	0.000	0.000	0.281	0.000	0.000	0.678	-0.265	0.000	-0.312	-0.586	0.409	0.000	-0.314	0.000	0.235	0.000	0.000	0.000	0.000	0.313	0.355	0.000	0.000	0.000	0.000	0.000	-0.397	0.290	0.468	0.439	-0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.395	0.000	0.000	0.000	0.000	0.423	0.000	0.000	-0.333	0.000	-0.295	0.000	0.000	0.000	0.000	0.000	0.927	0.000	0.270	0.575	0.382	0.000	-0.489	0.000	0.000	0.000	0.000	0.000	-0.452	0.000	-0.026	0.000	-0.586	0.000	0.000	-0.501	0.000	0.268	-0.682	-0.488	0.000	0.250	0.000
7q	0.000	0.752	0.000	0.000	0.986	0.430	0.859	0.403	0.526	0.000	0.306	0.000	0.000	0.000	0.000	0.431	0.000	0.292	0.000	0.000	0.000	-0.138	0.000	0.000	0.000	0.000	0.000	0.000	1.148	0.372	0.000	0.842	0.000	0.686	-0.275	0.000	0.000	0.281	0.000	0.000	0.678	-0.265	0.510	0.000	0.000	0.409	0.286	-0.314	0.000	0.486	0.000	0.000	0.000	0.266	0.313	0.355	0.000	0.000	0.000	0.000	0.000	-0.397	0.290	0.468	0.439	0.316	0.000	0.000	0.000	0.000	0.000	0.000	0.432	0.000	0.861	0.000	0.000	0.000	0.000	0.423	0.000	0.000	-0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.270	0.575	0.382	0.686	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.810	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.250	0.000
8p	0.282	-0.745	-0.298	0.000	0.000	1.102	-0.877	0.016	-1.037	0.000	-0.389	-0.650	-0.903	-0.591	0.000	0.443	-0.654	0.195	0.000	-0.816	0.788	0.300	-0.603	0.000	-0.017	-0.640	-0.868	0.000	-0.998	0.321	-0.585	-0.817	-0.260	-0.480	-0.275	-0.276	0.000	-0.718	0.000	0.000	-0.126	0.000	-0.739	-0.289	0.000	2.234	0.100	-0.278	1.322	0.000	-0.307	0.198	-0.888	-1.187	0.000	-0.303	-0.434	-0.584	0.000	-0.463	-0.789	-0.613	0.330	-0.993	0.000	-0.857	-0.050	-0.382	0.000	-0.628	-0.292	0.737	-0.529	0.497	-0.519	-0.596	0.506	-0.549	0.000	-0.402	0.000	-0.484	-0.437	-0.292	-0.602	-0.669	-0.392	0.000	0.270	-0.709	-0.855	0.281	0.000	-0.248	0.000	-0.421	-0.502	0.000	0.000	0.000	-0.646	-0.660	0.304	-0.668	0.000	0.000	0.000	0.106	-0.636	-0.525	0.000	-0.368	-0.640	-0.795	1.481	-1.037	0.581
8q	0.536	-0.745	-0.298	0.000	0.000	0.711	-0.456	0.422	-0.074	0.000	0.844	0.000	-0.903	-0.591	0.000	0.443	0.000	0.828	0.000	0.000	0.788	1.158	-0.603	0.000	0.837	0.000	-0.868	0.000	0.881	0.589	-0.013	0.619	0.000	0.000	0.000	0.000	0.426	1.233	0.000	0.591	0.446	0.912	1.363	0.000	1.140	2.858	0.513	0.000	1.322	0.000	0.330	0.874	0.000	0.000	0.000	0.094	-0.434	0.000	0.000	0.000	0.000	-0.349	0.000	-0.007	0.298	0.000	0.340	0.284	0.000	-0.628	0.000	0.737	0.000	0.497	0.000	-0.596	0.506	0.818	0.289	-0.402	0.371	0.000	0.689	-0.292	-0.266	1.208	-0.392	0.000	0.270	0.631	1.208	0.281	0.871	0.394	-0.383	0.000	0.480	1.297	0.000	0.000	0.000	0.000	2.442	0.000	0.375	0.000	0.000	0.611	0.000	0.000	0.000	0.672	-0.083	-0.040	2.282	0.000	0.581
9p	0.627	0.000	-0.253	0.000	0.000	-0.593	0.000	-0.409	-0.509	-0.904	2.048	-0.587	1.174	-0.593	0.000	0.000	0.301	0.000	0.000	0.000	-0.441	0.912	-0.576	0.000	0.000	0.000	0.000	-0.746	-0.473	-0.314	0.000	0.260	0.392	-0.453	0.000	0.000	0.000	0.000	0.355	-0.311	0.903	0.000	0.562	0.054	0.000	0.497	-0.450	-0.278	-0.833	0.000	0.000	-0.661	-0.860	0.485	0.000	-0.396	0.000	0.000	-0.609	-0.100	-0.768	0.000	0.000	0.000	0.456	-0.442	0.000	0.000	-0.251	-0.603	0.000	0.000	0.000	0.000	0.514	-0.672	0.000	0.395	0.000	0.000	0.000	0.593	-0.661	0.000	0.000	0.000	-0.308	-0.300	0.000	-0.688	0.000	0.000	1.375	0.000	-0.486	0.000	-0.401	0.000	0.000	0.000	-0.756	0.000	-0.451	-0.627	0.000	0.000	0.000	-0.474	0.000	-0.518	0.000	-0.639	-0.556	0.000	-0.817	0.000	0.000
9q	0.627	0.000	-0.253	0.000	0.000	-0.593	-0.816	-0.409	-0.509	-0.904	-0.631	-0.587	-0.381	-0.593	-0.858	0.000	0.000	0.000	0.000	0.000	-0.441	0.000	0.000	0.000	0.000	0.000	0.000	-0.746	-0.473	-0.314	0.000	0.000	-0.251	-0.453	-0.273	0.000	0.000	0.000	0.000	-0.311	0.417	0.000	0.000	-0.292	-0.275	-0.632	-0.450	-0.278	0.000	0.000	-0.290	-0.316	-0.860	-0.591	0.000	-0.396	0.000	0.000	-0.609	-0.389	-0.768	0.000	0.000	-0.399	-0.332	-0.442	0.000	0.000	-0.251	0.000	0.000	0.262	-0.485	0.000	0.514	-0.672	0.000	-0.273	0.000	0.000	0.000	0.000	-0.661	0.000	0.000	0.000	-0.308	-0.287	0.000	0.000	0.000	0.000	0.000	0.000	-0.486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.627	0.000	0.000	0.000	-0.474	0.000	-0.518	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10p	0.000	-0.745	0.000	0.000	0.000	0.271	0.736	0.434	1.054	-0.898	0.354	0.344	0.000	-0.542	-0.866	-0.220	-0.274	0.000	0.000	0.000	0.257	-0.465	0.000	0.000	-0.830	0.000	0.000	-0.804	0.000	0.550	-0.487	0.000	0.000	0.771	0.000	0.000	0.000	1.587	0.000	0.000	-0.570	0.831	0.000	0.000	0.704	0.000	1.128	0.000	1.540	0.000	0.000	0.000	0.824	0.000	0.000	-0.353	-0.374	0.000	0.000	0.000	0.000	-0.596	0.278	0.479	0.345	-0.450	0.000	0.000	0.000	0.000	0.528	-0.693	-0.505	0.000	0.477	0.000	0.000	1.330	0.000	0.000	0.000	0.000	0.504	0.000	-0.255	0.000	-0.363	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.949	-0.493	0.000	0.334	0.000	0.000	-0.743	0.000	0.359	0.000	0.000	0.000	0.602	0.471	0.000	0.000	0.000	0.000	-0.671	-0.558	0.000	-0.277	0.432
10q	0.000	0.000	0.000	0.000	0.000	-0.279	0.000	0.000	0.000	0.000	0.354	0.000	0.000	0.000	0.000	-0.756	-0.274	0.000	0.000	0.000	0.000	-0.465	0.000	0.000	-0.830	-0.656	0.000	-0.804	0.000	0.000	-0.487	0.000	0.000	0.771	0.000	0.000	0.000	0.000	0.000	-0.259	-0.570	0.435	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.824	0.000	0.000	-0.353	-0.374	0.000	0.000	-0.975	0.000	-0.596	0.000	0.000	0.000	0.321	0.000	0.000	0.000	0.000	0.000	-0.693	0.000	0.000	0.477	0.000	0.000	1.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.363	-0.330	0.000	0.000	0.000	0.000	0.319	0.000	0.509	0.000	0.000	0.334	0.000	0.000	0.000	0.000	0.000	-0.625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.432
11p	0.000	-0.779	0.000	0.280	0.000	-0.609	0.000	-0.289	-0.314	0.000	0.456	0.000	-0.423	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.393	0.686	-0.802	-0.836	0.000	0.000	0.000	-0.053	-0.476	0.000	-0.608	0.000	0.000	-0.256	0.000	0.000	-0.420	0.000	0.420	-0.579	0.000	0.000	-0.363	0.000	0.000	-0.432	0.000	0.000	0.000	0.000	-0.321	-0.901	0.906	0.000	0.000	0.000	0.000	0.000	-0.467	0.000	0.000	0.000	0.000	0.000	-0.419	0.000	0.000	0.000	-0.645	0.000	0.000	-0.513	0.000	-0.473	0.000	0.000	-0.260	0.000	0.000	0.000	-0.289	0.000	-0.284	0.000	0.000	-0.367	-0.278	0.000	-0.558	0.619	0.000	0.000	-0.611	-0.470	0.000	-0.494	0.000	0.000	0.000	0.000	-0.302	0.340	0.000	-0.852	0.000	-0.605	0.000	-0.713	-0.506	0.000	-0.510	0.000	-0.792	-0.827	0.000	0.000
11q	0.000	0.000	0.000	0.280	0.000	-0.609	0.000	0.000	0.000	0.000	0.456	0.000	0.100	-0.576	0.000	0.000	0.000	0.257	0.000	0.000	0.000	0.007	0.686	-0.802	-0.836	0.000	0.000	0.000	0.435	0.000	0.000	0.000	0.377	0.000	-0.256	0.000	0.000	0.311	0.000	0.110	-0.101	0.000	0.000	-0.363	0.000	1.144	-0.069	0.000	0.989	0.000	0.289	0.000	-0.901	0.472	0.000	0.000	0.000	0.000	0.000	-0.467	0.000	0.000	0.000	0.285	0.000	-0.419	0.000	0.000	0.000	-0.645	0.000	0.000	0.000	0.000	0.382	0.000	0.000	-0.260	0.423	0.000	0.321	0.000	0.491	-0.636	0.000	0.472	-0.367	0.000	0.000	0.000	0.000	0.000	-0.554	-0.611	-0.470	0.000	-0.517	0.462	0.000	0.000	0.000	-0.302	0.678	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.510	0.000	-0.321	-0.827	0.000	0.000
12p	-0.281	0.000	0.000	0.000	0.000	1.907	-0.869	1.692	-0.458	0.000	0.990	0.000	-0.394	0.000	0.000	0.000	-0.620	0.000	0.000	0.000	0.000	0.000	0.000	-0.132	0.000	0.000	0.000	0.000	0.429	2.055	-0.574	0.780	0.728	1.355	-0.261	0.000	0.000	0.000	0.000	0.000	-0.147	0.000	0.000	0.000	0.516	0.558	0.360	0.000	0.000	-0.295	0.000	0.381	-0.874	0.353	1.318	0.000	0.000	0.000	0.000	1.086	0.000	0.268	0.000	0.475	0.000	1.007	0.000	0.000	0.000	0.645	0.000	0.000	0.000	0.000	0.024	0.000	0.477	-0.278	0.000	0.000	0.000	0.316	0.000	0.353	0.000	0.000	0.358	-0.378	0.000	0.000	0.502	0.000	0.000	1.173	0.831	0.000	0.000	0.000	0.808	0.000	0.000	-0.289	0.000	0.000	0.000	0.578	0.000	0.000	0.000	0.496	0.817	1.155	0.000	-0.321	0.000	0.935	0.000
12q	0.000	0.000	0.000	0.000	0.000	0.476	-0.869	-0.403	-0.458	0.000	0.990	0.000	-0.394	0.000	0.000	0.000	-0.620	0.000	0.000	0.000	0.000	-0.453	0.000	-0.807	0.293	-0.647	0.000	0.000	0.079	0.000	-0.574	0.000	0.417	0.000	-0.261	0.000	0.000	0.000	0.000	0.000	-0.523	0.000	0.000	0.000	0.516	0.000	-0.295	0.000	0.000	-0.295	0.000	0.000	-0.874	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.391	0.000	0.000	0.000	0.645	0.000	0.000	-0.430	0.000	-0.464	0.000	0.000	-0.278	0.000	0.000	-0.386	0.316	0.000	0.353	0.000	-0.635	0.358	-0.378	0.000	0.000	0.000	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.808	0.000	0.000	0.000	0.000	0.000	0.000	0.578	0.000	0.000	0.000	0.000	0.817	0.844	0.000	-0.321	0.000	0.000	0.000
13q	0.000	-0.772	0.000	0.000	0.638	-0.630	-0.865	-0.413	0.514	-0.904	0.363	-0.670	-0.435	0.000	-0.851	-0.443	-0.269	-0.257	-0.771	0.335	0.000	0.280	0.000	-0.809	-0.814	0.000	0.000	0.000	-0.323	-0.786	-0.518	0.000	0.000	0.000	-0.283	0.000	0.000	-0.461	0.000	-0.367	0.000	0.308	-0.764	0.000	0.000	0.000	0.000	-0.313	0.000	-0.311	0.000	0.313	-0.904	-1.011	0.000	0.000	0.000	0.000	0.000	-0.466	0.000	0.000	0.000	0.000	-0.276	-0.375	0.000	0.000	0.000	-1.293	0.000	0.000	0.000	0.000	-0.497	-0.618	0.000	0.264	0.000	0.000	-0.384	0.000	0.611	-0.327	-0.339	0.000	0.000	-0.269	0.000	0.000	0.000	0.000	0.000	-0.636	-0.464	0.000	-0.435	0.342	0.000	0.000	-0.752	-1.015	-0.438	-0.643	-0.780	0.000	0.000	-0.539	0.000	-0.510	0.000	0.288	-0.675	0.000	-0.767	1.726	0.601
14q	0.000	-0.756	0.000	0.000	0.000	-0.336	0.000	-0.397	-0.484	-0.895	-0.604	-0.573	-1.293	0.634	-0.860	0.000	0.000	0.000	-0.785	0.000	0.000	-0.301	0.000	-0.800	-0.806	-0.667	-0.641	-0.809	0.000	0.000	-0.584	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.602	0.000	0.000	-0.308	0.000	0.000	-0.448	-0.285	0.288	-0.302	0.000	0.000	-0.897	-0.668	-0.296	0.000	-0.394	-0.311	-0.559	-0.386	0.000	-0.896	0.000	-0.374	0.000	0.000	0.000	0.000	0.000	0.608	0.000	0.000	0.000	0.000	0.469	-0.609	0.000	-0.282	0.000	0.000	-0.392	0.253	0.000	-0.693	0.000	-0.652	-0.341	-0.333	0.000	0.000	0.000	0.000	-0.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.082	-0.642	0.000	-0.459	0.000	0.000	-0.682	-0.577	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
