chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21p	chr21q	chr22p	chr22q	chrXp	chrXq
X1582	0	0	0	0	0	0	-0.609	0	0	0	0	-0.742	0	0.751	0.874	1.481	-0.122	-0.383	0	0	-0.627	0	0.74	0	0	0	0	-0.745	-0.745	-0.789	-0.789	0	0	0	0	0	0	0	0	0	-0.789	0	0
X1593	0	0	0	0	0.497	0.497	0	0	0.542	0.252	0.259	0	0.695	0	0	0	0.322	-0.281	0	0	0.396	0.396	0.565	0.261	0	0	0	0	0	0	0.411	0.308	0.308	-0.385	-0.385	0.886	0.886	0	0	0	0	-0.062	-0.373
X1605	0.382	0.382	-0.078	-0.335	0	0.675	-0.466	-0.466	0.896	0	0	0	0.842	0.842	-0.491	0	-0.38	-0.38	0.753	0.753	0	0	1.342	0	0.298	0	-0.441	-0.372	-0.372	-0.787	0	0.644	-0.504	0.347	0.347	0.382	1.014	0	0	0	0	-0.501	-0.501
X1634	0	0	0	0	0	0	-0.267	-0.267	0	0	0	0	-0.275	-0.275	-0.276	0	0	0	0	0	-0.256	-0.256	-0.257	-0.257	-0.283	0	-0.278	0	0	-0.281	-0.281	0	-0.282	0	0	0	0	-0.331	-0.331	-0.294	-0.294	0	0
X1652	0.318	0.318	0	0	0	0	0	0	0	0	0.668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.369	0.409	0.409	0	0	0	0	0.284	0.284
X1677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X1689	0	0	-0.339	0	0.581	0.581	-0.658	-0.4	0.974	0	0.346	0.346	0.257	0.257	-0.855	1.82	-0.404	-0.404	1.536	0	-0.417	-0.104	0	0	-0.455	-0.464	0	-0.149	-0.452	-0.413	-0.413	-0.34	-0.34	0	0	0	0	0	0	0.565	-0.479	-0.349	-0.349
X1718	0	0	0	0	0.463	0.463	0	0	0.266	0	0	0	0	0	0	0	0.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X1751	0	0	0	0	0	0.598	-0.365	-0.365	0	0	0	0.322	-0.337	0	0.655	0.655	-0.323	-0.323	-0.361	-0.361	0.404	-0.337	0	0	-0.372	0	0.368	0.423	-0.36	-0.289	-0.289	0.343	-0.507	0	0	0	0	0.809	0.809	-0.294	-0.294	-0.426	-0.426
X1851	0	0	0	0	0	0.559	-0.01	0.472	1.622	0	0.446	0.446	0.621	0.621	-0.413	0	0.925	0.439	-0.557	-0.557	-0.618	0.521	0.463	0.463	1.162	0.515	0.482	0.07	-0.52	-0.533	0	-0.366	-0.671	0	0	-0.619	0	-0.582	-0.582	0	0	-0.616	-0.616
