sample,cval,dipLogR_flag,n_alternative_dipLogR,wgd,fga,n_dip_bal_segs,frac_dip_bal_segs,n_dip_imbal_segs,frac_dip_imbal_segs,n_amps,n_homdels,frac_homdels,n_homdels_clonal,frac_homdels_clonal,n_cn_states,n_segs,n_cnlr_clusters,n_lcn_na,n_loh,frac_loh,n_segs_subclonal,frac_segs_subclonal,n_segs_below_dipLogR,frac_below_dipLogR,n_segs_balanced_odd_tcn,frac_balanced_odd_tcn,n_segs_imbalanced_diploid_cn,frac_imbalanced_diploid_cn,n_segs_lcn_greater_mcn,frac_lcn_greater_mcn,n_snps,n_het_snps,frac_het_snps,n_snps_with_300x_in_tumor,n_het_snps_with_300x_in_tumor,n_het_snps_hom_in_tumor_1pct,n_het_snps_hom_in_tumor_5pct,frac_het_snps_hom_in_tumor_1pct,frac_het_snps_hom_in_tumor_5pct,mean_cnlr_residual,sd_cnlr_residual,n_segs_discordant_tcn,frac_discordant_tcn,n_segs_discordant_lcn,frac_discordant_lcn,n_segs_discordant_both,frac_discordant_both,n_segs_icn_cnlor_discordant,frac_icn_cnlor_discordant,mafr_median_all,mafr_median_clonal,mafr_n_gt_1
MDL16-3467,50,FALSE,0,FALSE,0.76,32,0.023,11,0.0044,0,22,0.003,17,0.0027,14,874,43,451,159,0.076,159,0.14,242,0.11,50,0.14,183,0.24,135,0.22,324396,14238,0.044,6255,272,9159,6858,0.64,0.48,-0.18,0.94,182,0.17,1.2e+09,0.84,94,0.29,210,0.25,2.1,3,505
MDL16-3681,100,FALSE,0,TRUE,0.97,1,4.9e-05,3,0.00081,6,6,0.0018,6,0.0018,30,258,42,90,83,0.33,47,0.2,15,0.0087,18,0.089,14,0.055,118,0.51,324751,14261,0.044,12813,664,8790,8082,0.62,0.57,-0.11,0.73,55,0.23,8.8e+08,0.49,23,0.19,19,0.056,2.4,2.8,161
MDL16-3681,50,FALSE,0,FALSE,0.98,1,4.9e-05,3,0.00081,21,6,0.0018,6,0.0018,38,881,62,527,218,0.25,148,0.19,43,0.013,65,0.18,14,0.041,280,0.33,324751,14261,0.044,12813,664,8790,8082,0.62,0.57,-0.11,0.72,119,0.13,4.7e+08,0.4,40,0.095,26,0.046,4.5,4.9,584
MDL16-372,100,FALSE,0,FALSE,0.78,11,0.021,0,0,0,5,0.00075,5,0.00075,15,235,35,55,110,0.37,33,0.063,101,0.53,16,0.077,49,0.24,104,0.43,324741,14259,0.044,10447,569,9387,7622,0.66,0.53,-0.091,0.66,98,0.48,1.1e+09,0.55,58,0.39,61,0.29,2.5,3.3,155
MDL16-372,50,FALSE,0,FALSE,0.86,3,0.0013,7,0.0052,0,4,0.00017,4,0.00017,16,791,42,312,351,0.29,138,0.087,365,0.54,34,0.11,82,0.15,277,0.28,324741,14259,0.044,10447,569,9387,7622,0.66,0.53,-0.09,0.65,296,0.31,7.6e+08,0.55,189,0.44,100,0.19,3.1,4.2,562
MDL16-3785,100,FALSE,0,TRUE,0.43,0,0,3,0.00086,0,3,0.00014,3,0.00014,16,237,28,68,62,0.095,108,0.57,13,0.0037,12,0.056,18,0.18,52,0.069,324064,14230,0.044,298,16,9413,6391,0.66,0.45,-0.15,0.95,61,0.14,1.7e+09,0.86,13,0.02,21,0.18,2,1.6,144
MDL16-3785,50,FALSE,0,FALSE,1,4,0.00059,0,0,0,5,0.00016,5,0.00016,21,1009,44,646,162,0.12,201,0.12,69,0.014,57,0.07,118,0.18,132,0.091,324064,14230,0.044,298,16,9413,6391,0.66,0.45,-0.15,0.93,208,0.091,6.5e+08,0.66,36,0.041,126,0.18,2,3.3,580
MDL16-4031,100,FALSE,0,FALSE,0.73,5,0.016,7,0.058,1,4,0.0029,3,0.00013,18,251,42,44,132,0.46,58,0.22,99,0.32,19,0.048,39,0.28,106,0.33,324754,14262,0.044,12832,728,9253,8154,0.65,0.57,-0.064,0.61,97,0.55,1.3e+09,0.56,53,0.43,52,0.32,2,2.4,148
MDL16-4031,50,FALSE,0,FALSE,0.88,7,0.012,7,0.0019,1,5,0.00053,5,0.00053,18,967,48,399,423,0.42,240,0.27,379,0.39,63,0.13,77,0.13,276,0.23,324754,14262,0.044,12832,728,9253,8154,0.65,0.57,-0.06,0.6,268,0.36,9.8e+08,0.58,168,0.43,105,0.15,2.5,3.1,622
MDL16-4342,100,FALSE,0,TRUE,0.42,0,0,1,0.0022,0,3,7.1e-05,2,7.1e-05,16,232,28,69,35,0.026,108,0.4,9,0.0056,26,0.13,21,0.22,27,0.021,324760,14259,0.044,5092,287,9482,7830,0.66,0.55,-0.067,0.61,68,0.16,1.8e+09,0.95,13,0.033,26,0.23,1.6,0.38,125
MDL16-4342,50,FALSE,0,FALSE,0.98,0,0,2,0.0022,0,6,0.0042,5,0.0042,20,901,37,551,180,0.17,295,0.3,21,0.0083,26,0.025,26,0.063,141,0.15,324760,14259,0.044,5092,287,9482,7830,0.66,0.55,-0.064,0.6,310,0.28,7.3e+08,0.59,75,0.3,35,0.064,2,2.3,513
MDL16-4473,100,FALSE,0,TRUE,0.44,1,8.7e-05,0,0,0,11,0.0027,11,0.0027,14,217,23,41,59,0.12,28,0.25,11,0.0027,19,0.08,68,0.39,52,0.12,324776,14259,0.044,6341,341,8466,7625,0.59,0.53,-0.099,0.69,79,0.16,1.8e+09,0.85,27,0.088,83,0.41,1.9,2.1,128
MDL16-4473,50,FALSE,0,FALSE,0.98,0,0,2,0.00015,0,10,0.00053,10,0.00053,15,845,36,488,138,0.16,243,0.51,23,0.006,64,0.17,61,0.036,71,0.061,324776,14259,0.044,6341,341,8466,7625,0.59,0.53,-0.097,0.68,205,0.2,9.3e+08,0.66,52,0.1,74,0.04,2.3,2.1,486
MDL16-4671,100,FALSE,0,TRUE,0.82,0,0,0,0,6,4,0.00019,4,0.00019,34,330,42,119,41,0.084,76,0.25,9,0.0059,28,0.074,23,0.12,116,0.26,324777,14259,0.044,8797,394,9401,7578,0.66,0.53,-0.071,0.7,55,0.16,1.5e+09,0.87,29,0.18,26,0.12,1.3,1.1,177
MDL16-4671,50,FALSE,0,FALSE,1,0,0,0,0,18,5,0.00023,5,0.00023,40,1201,58,836,95,0.064,293,0.18,51,0.016,93,0.15,34,0.055,205,0.18,324777,14259,0.044,8797,394,9401,7578,0.66,0.53,-0.069,0.69,220,0.15,6.7e+08,0.73,52,0.13,43,0.056,1.8,2,674
MDL16-4853,100,FALSE,0,FALSE,0.86,0,0,8,0.012,2,8,0.0017,8,0.0017,18,248,28,73,68,0.13,60,0.15,15,0.0045,15,0.073,54,0.26,58,0.19,324750,14261,0.044,7346,402,9503,7934,0.67,0.56,-0.073,0.63,73,0.22,1.4e+09,0.8,41,0.23,62,0.27,1.7,2.2,141
MDL16-4853,50,FALSE,0,FALSE,0.94,4,0.0011,0,0,3,10,0.001,9,0.001,20,889,38,526,138,0.1,181,0.3,70,0.027,64,0.15,78,0.075,144,0.19,324750,14261,0.044,7346,402,9503,7934,0.67,0.56,-0.072,0.62,219,0.23,8.3e+08,0.74,57,0.14,85,0.076,2,3,506
MDL16-5150,100,FALSE,0,TRUE,0.71,8,0.0058,0,0,0,7,0.00079,3,4.3e-05,16,392,34,134,142,0.27,127,0.35,64,0.041,42,0.18,41,0.095,104,0.26,324744,14256,0.044,5970,308,9432,7705,0.66,0.54,-0.04,0.62,126,0.27,1.1e+09,0.62,38,0.11,50,0.098,1.5,2.3,217
MDL16-5150,50,FALSE,0,FALSE,0.92,8,0.0018,3,0.00085,0,4,0.0015,4,0.0015,19,1225,47,689,330,0.16,315,0.27,254,0.063,120,0.23,100,0.12,232,0.17,324744,14256,0.044,5970,308,9432,7705,0.66,0.54,-0.037,0.61,402,0.34,7.6e+08,0.67,210,0.38,145,0.12,1.7,2.9,682
MDL16-5262,100,FALSE,0,TRUE,0.71,0,0,0,0,4,2,7.2e-05,2,7.2e-05,23,246,34,74,80,0.38,77,0.4,7,0.0015,28,0.11,19,0.077,74,0.34,324789,14259,0.044,7829,462,9059,8136,0.64,0.57,-0.06,0.59,127,0.59,1.3e+09,0.59,28,0.25,23,0.078,2,2.3,153
MDL16-5262,50,FALSE,0,FALSE,1,0,0,1,5.6e-05,6,2,7.2e-05,2,7.2e-05,30,872,50,532,144,0.12,160,0.17,13,0.0041,57,0.11,65,0.16,170,0.19,324789,14259,0.044,7829,462,9059,8136,0.64,0.57,-0.058,0.58,207,0.2,8.8e+08,0.72,66,0.21,78,0.16,2.2,3.2,508
MDL17-137,100,TRUE,0,TRUE,0.97,0,0,1,4.9e-05,2,3,0.00013,3,0.00013,31,282,31,88,61,0.11,43,0.19,4,0.002,20,0.095,47,0.2,97,0.27,324807,14264,0.044,8387,408,9296,7768,0.65,0.54,-0.084,0.7,179,0.68,1.4e+09,0.77,82,0.58,58,0.22,1.6,1,158
MDL17-137,50,TRUE,0,FALSE,0.97,0,0,1,5e-05,7,3,6.7e-05,3,6.7e-05,34,967,45,618,85,0.074,167,0.16,11,0.0022,58,0.11,44,0.11,172,0.21,324807,14264,0.044,8387,408,9296,7768,0.65,0.54,-0.081,0.69,552,0.61,9.5e+08,0.75,186,0.64,55,0.12,1.8,1.3,544
MDL17-1665,100,FALSE,0,TRUE,0.84,0,0,3,0.0047,0,1,3.2e-05,1,3.2e-05,16,263,34,78,104,0.42,82,0.4,33,0.031,16,0.15,16,0.023,96,0.36,324437,14242,0.044,18,1,9286,5649,0.65,0.4,-0.12,0.87,102,0.4,6.5e+08,0.35,43,0.19,21,0.027,1.8,3,145
MDL17-1665,50,FALSE,0,FALSE,0.98,6,0.0024,12,0.0048,0,3,0.00082,2,8e-04,17,953,44,575,149,0.11,165,0.12,149,0.058,68,0.19,61,0.048,200,0.22,324437,14242,0.044,18,1,9286,5649,0.65,0.4,-0.12,0.86,89,0.043,6.9e+08,0.67,37,0.057,75,0.052,2,3.1,558
MDL17-1897,100,FALSE,0,FALSE,0.45,33,0.19,2,0.0025,0,12,0.003,8,0.0027,12,336,39,63,146,0.15,48,0.063,185,0.3,36,0.047,105,0.58,100,0.097,324803,14260,0.044,1258,44,9283,7306,0.65,0.51,-0.033,0.63,75,0.18,1.7e+09,0.84,62,0.24,146,0.63,1.4,2.2,176
MDL17-1897,50,FALSE,0,FALSE,0.77,40,0.084,18,0.017,0,15,0.0026,5,0.0018,13,1230,49,548,482,0.21,152,0.075,697,0.35,87,0.033,159,0.25,347,0.14,324803,14260,0.044,1258,44,9283,7306,0.65,0.51,-0.031,0.62,237,0.16,8.2e+08,0.64,180,0.29,253,0.28,1.7,2.8,674
MDL17-2054,100,FALSE,0,TRUE,0.97,1,3e-05,1,0.00014,2,7,0.0036,7,0.0036,30,362,31,137,114,0.47,37,0.047,9,0.0038,50,0.18,29,0.022,143,0.54,324798,14263,0.044,8644,419,9173,7914,0.64,0.55,-0.044,0.64,254,0.62,4.8e+08,0.28,65,0.22,40,0.029,1.1,1.3,178
MDL17-2054,50,FALSE,0,FALSE,0.99,1,2e-04,0,0,0,3,4.9e-05,3,4.9e-05,24,1160,40,761,96,0.043,206,0.17,31,0.0054,117,0.2,136,0.15,90,0.069,324798,14263,0.044,8644,419,9173,7914,0.64,0.55,-0.041,0.62,239,0.18,8.1e+08,0.85,109,0.25,154,0.16,1.7,1.9,610
MDL17-2071,100,FALSE,0,FALSE,0.11,46,0.66,4,0.0049,1,3,0.0023,2,8.8e-05,8,209,18,28,59,0.052,39,0.044,111,0.23,3,0.0017,105,0.85,19,0.0086,324775,14261,0.044,13183,692,9368,8157,0.66,0.57,-0.062,0.57,27,0.027,2.5e+09,0.96,24,0.026,110,0.86,1.9,2.7,122
MDL17-2071,50,FALSE,0,FALSE,0.47,76,0.28,22,0.023,1,2,8.9e-05,2,8.9e-05,12,694,33,285,179,0.094,111,0.068,412,0.44,13,0.013,199,0.47,70,0.025,324775,14261,0.044,13183,692,9368,8157,0.66,0.57,-0.061,0.56,89,0.023,1.4e+09,0.86,80,0.034,214,0.48,2,3.9,390
MDL17-2084,100,FALSE,0,FALSE,0.31,11,0.12,4,0.015,0,21,0.005,7,0.0017,5,241,28,23,112,0.14,25,0.024,204,0.83,16,0.018,92,0.7,79,0.11,324769,14261,0.044,6792,355,9387,7793,0.66,0.55,-0.071,0.63,73,0.13,2.1e+09,0.86,54,0.13,112,0.74,2,2.2,151
MDL17-2084,50,FALSE,0,FALSE,0.6,33,0.18,28,0.027,0,15,0.0037,6,0.0016,7,914,40,308,410,0.23,142,0.094,769,0.95,82,0.029,177,0.42,264,0.14,324769,14261,0.044,6792,355,9387,7793,0.66,0.55,-0.068,0.62,209,0.12,1.4e+09,0.75,181,0.18,262,0.45,1.6,2.8,506
MDL17-2385,100,FALSE,0,TRUE,0.92,2,0.00081,7,0.023,0,2,4.5e-05,2,4.5e-05,16,250,35,67,147,0.56,45,0.12,43,0.089,9,0.068,15,0.049,131,0.56,323851,14207,0.044,41,2,8962,4639,0.63,0.33,-0.13,0.89,55,0.28,4.5e+08,0.23,2,0.038,19,0.054,3.1,3.9,177
MDL17-2385,50,FALSE,0,FALSE,0.98,0,0,20,0.015,0,4,0.00016,4,0.00016,21,848,48,449,337,0.43,119,0.075,179,0.11,35,0.091,13,0.049,326,0.43,323851,14207,0.044,41,2,8962,4639,0.63,0.33,-0.13,0.88,109,0.17,4.7e+08,0.33,11,0.075,26,0.056,3.8,4.4,595
MDL17-2416,100,FALSE,0,TRUE,0.79,0,0,0,0,1,1,5.3e-05,1,5.3e-05,24,266,42,90,50,0.16,111,0.52,14,0.0071,22,0.11,21,0.025,64,0.22,324764,14261,0.044,11624,590,9228,7349,0.65,0.52,-0.096,0.74,78,0.19,1.4e+09,0.73,7,0.063,29,0.03,1.9,1.4,153
MDL17-2416,50,FALSE,0,FALSE,0.99,2,0.00031,0,0,5,5,0.004,5,0.004,24,882,51,553,94,0.07,183,0.22,45,0.01,51,0.15,72,0.093,173,0.23,324764,14261,0.044,11624,590,9228,7349,0.65,0.52,-0.095,0.73,136,0.17,1e+09,0.83,53,0.15,82,0.095,2.2,2.5,529
MDL17-2508,100,FALSE,0,TRUE,0.96,0,0,8,0.0064,0,3,0.0069,3,0.0069,19,236,36,64,110,0.5,63,0.21,25,0.053,20,0.12,12,0.033,94,0.49,324744,14257,0.044,6511,398,9514,7717,0.67,0.54,-0.079,0.66,102,0.39,7e+08,0.34,31,0.12,19,0.041,1.9,3.3,142
MDL17-2508,50,FALSE,0,FALSE,0.98,0,0,12,0.004,4,5,0.0078,5,0.0078,22,857,47,460,163,0.13,141,0.11,88,0.071,35,0.15,89,0.15,216,0.22,324744,14257,0.044,6511,398,9514,7717,0.67,0.54,-0.077,0.65,226,0.22,1e+09,0.76,95,0.28,99,0.17,2.7,3.5,539
MDL17-2917,100,FALSE,0,TRUE,0.79,3,7e-04,0,0,0,1,2.8e-05,1,2.8e-05,19,297,33,107,69,0.098,125,0.49,13,0.0031,21,0.042,18,0.14,47,0.025,324734,14257,0.044,5201,248,9226,7168,0.65,0.5,-0.084,0.74,104,0.43,1.5e+09,0.84,9,0.15,22,0.14,1.2,0.32,152
MDL17-2917,50,FALSE,0,FALSE,0.98,3,0.00038,3,0.00039,4,8,0.00073,6,0.00068,32,1000,43,615,228,0.3,137,0.053,46,0.0057,91,0.11,50,0.021,291,0.39,324734,14257,0.044,5201,248,9226,7168,0.65,0.5,-0.08,0.73,795,0.81,2.5e+08,0.22,64,0.085,65,0.023,1.7,2.4,550
MDL17-3055,100,FALSE,0,TRUE,0.92,0,0,7,0.042,2,4,0.00085,3,0.00062,20,214,38,53,65,0.22,32,0.031,58,0.27,16,0.11,17,0.08,108,0.59,322805,14171,0.044,1385,70,8973,5575,0.63,0.39,-0.26,1.1,57,0.11,1.4e+09,0.72,25,0.068,20,0.083,2,2.6,129
MDL17-3055,50,FALSE,0,FALSE,0.94,0,0,11,0.015,2,6,0.00035,5,3e-04,22,777,55,394,271,0.28,180,0.11,212,0.33,36,0.1,24,0.07,267,0.37,322805,14171,0.044,1385,70,8973,5575,0.63,0.39,-0.26,1.1,146,0.092,5.4e+08,0.39,29,0.054,41,0.078,2.4,4,487
MDL17-3392,100,FALSE,0,TRUE,0.91,0,0,0,0,0,3,9e-05,3,9e-05,22,277,34,91,79,0.18,69,0.16,8,0.0012,24,0.12,19,0.069,104,0.38,324784,14259,0.044,12859,744,9167,8184,0.64,0.57,-0.055,0.56,152,0.64,1.1e+09,0.69,57,0.45,23,0.07,1.7,2,158
MDL17-3392,50,FALSE,0,FALSE,1,0,0,0,0,1,3,9e-05,3,9e-05,30,892,42,550,102,0.1,145,0.16,11,0.0013,70,0.21,20,0.036,241,0.29,324784,14259,0.044,12859,744,9167,8184,0.64,0.57,-0.054,0.55,284,0.31,8.7e+08,0.7,112,0.41,29,0.037,1.8,2,504
MDL17-3439,100,FALSE,0,FALSE,0.25,33,0.15,0,0,0,4,0.0044,2,0.0039,7,227,20,41,60,0.081,33,0.03,108,0.21,3,0.0018,114,0.74,25,0.047,324762,14257,0.044,9214,472,9346,8200,0.66,0.58,-0.06,0.57,65,0.12,2.1e+09,0.93,48,0.13,119,0.74,1.7,2.7,129
MDL17-3439,50,FALSE,0,FALSE,0.59,53,0.1,0,0,0,2,0.0039,2,0.0039,8,804,29,348,195,0.096,78,0.051,391,0.27,19,0.0053,228,0.42,119,0.043,324762,14257,0.044,9214,472,9346,8200,0.66,0.58,-0.058,0.56,180,0.1,1.3e+09,0.88,142,0.17,250,0.43,2.1,3.7,468
MDL17-3683,100,FALSE,0,TRUE,0.65,9,0.012,0,0,0,5,0.002,2,3.3e-05,20,399,40,164,74,0.14,107,0.32,68,0.046,39,0.15,48,0.12,89,0.23,324778,14257,0.044,8963,428,9105,7157,0.64,0.5,-0.066,0.74,84,0.21,1.4e+09,0.78,57,0.2,59,0.13,1.3,1.8,210
MDL17-3683,50,FALSE,0,FALSE,0.95,9,0.0045,0,0,0,7,0.00019,5,0.00016,26,1330,52,876,218,0.096,318,0.3,255,0.069,106,0.14,106,0.09,201,0.15,324778,14257,0.044,8963,428,9105,7157,0.64,0.5,-0.063,0.73,269,0.24,6e+08,0.67,75,0.18,131,0.097,1.6,2.5,725
MDL17-377,100,FALSE,0,FALSE,0.37,15,0.16,1,0.00029,0,7,0.0015,3,6e-05,8,256,28,43,94,0.096,31,0.049,157,0.35,23,0.025,107,0.67,64,0.052,324745,14260,0.044,6377,332,9474,7830,0.66,0.55,-0.073,0.64,86,0.19,1.9e+09,0.91,68,0.24,132,0.69,1.4,2.2,142
MDL17-377,50,FALSE,0,FALSE,0.67,32,0.1,7,0.0056,0,15,0.0018,9,0.00079,10,927,34,286,409,0.18,103,0.065,576,0.4,76,0.043,198,0.35,303,0.11,324745,14260,0.044,6377,332,9474,7830,0.66,0.55,-0.07,0.63,292,0.19,1.2e+09,0.83,252,0.35,285,0.39,1.9,2.9,515
MDL17-379,100,FALSE,0,TRUE,0.87,0,0,0,0,2,5,0.00035,5,0.00035,24,245,39,80,48,0.045,49,0.17,9,0.00097,32,0.17,17,0.1,88,0.41,324798,14260,0.044,12956,672,9491,8557,0.67,0.6,-0.06,0.58,75,0.31,1.6e+09,0.87,53,0.39,23,0.1,2.1,2.2,145
MDL17-379,50,FALSE,0,FALSE,0.97,0,0,0,0,4,10,0.0014,8,0.00048,25,845,50,490,140,0.12,184,0.22,25,0.011,53,0.17,43,0.054,201,0.25,324798,14260,0.044,12956,672,9491,8557,0.67,0.6,-0.058,0.57,149,0.22,9e+08,0.74,80,0.37,52,0.057,2.3,2.8,511
MDL17-3883,100,FALSE,0,TRUE,0.74,2,0.0011,3,0.00079,1,12,0.0081,7,0.00091,13,214,32,60,58,0.13,31,0.25,32,0.021,25,0.22,41,0.062,72,0.42,324735,14261,0.044,4343,211,9213,7913,0.65,0.55,-0.063,0.67,61,0.18,1.6e+09,0.83,40,0.098,50,0.068,2.2,2.6,137
MDL17-3883,50,FALSE,0,FALSE,0.95,12,0.0025,0,0,1,18,0.0024,12,0.0015,20,935,46,507,165,0.064,111,0.19,156,0.029,104,0.35,110,0.058,204,0.19,324735,14261,0.044,4343,211,9213,7913,0.65,0.55,-0.06,0.66,282,0.19,9.5e+08,0.85,146,0.3,149,0.066,2.5,2.8,581
MDL17-5117,100,FALSE,0,TRUE,0.96,2,0.0031,0,0,1,4,0.00018,4,0.00018,26,349,45,134,110,0.25,71,0.25,31,0.051,43,0.19,17,0.034,133,0.34,324732,14258,0.044,5065,187,9102,6919,0.64,0.49,-0.055,0.69,75,0.26,9.2e+08,0.55,29,0.19,23,0.036,2,2,201
MDL17-5117,50,FALSE,0,FALSE,1,1,6.6e-05,6,0.0011,1,4,0.00018,4,0.00018,23,1246,55,871,207,0.18,230,0.16,111,0.057,105,0.27,38,0.038,215,0.22,324732,14258,0.044,5065,187,9102,6919,0.64,0.49,-0.051,0.67,101,0.1,4.1e+08,0.43,43,0.13,45,0.043,2.3,2.8,736
MDL17-5120,100,FALSE,0,FALSE,0.81,7,0.085,2,0.00061,0,4,9.2e-05,4,9.2e-05,17,236,33,82,54,0.14,74,0.34,18,0.016,18,0.14,28,0.21,67,0.22,324754,14258,0.044,11112,651,9396,8283,0.66,0.58,-0.049,0.55,78,0.32,1.5e+09,0.78,35,0.19,31,0.21,1.9,2.5,135
