Chromosome Arm	P-0000012-T03-IM3	P-0000082-T01-IM3	P-0000208-T01-IM3	P-0000235-T01-IM3	P-0000299-T01-IM3	P-0000302-T02-IM6	P-0000363-T01-IM3	P-0000458-T01-IM3	P-0000563-T01-IM3	P-0000604-T01-IM3	P-0000670-T01-IM3	P-0000681-T02-IM5	P-0000689-T02-IM5	P-0000731-T01-IM3	P-0000826-T01-IM3	P-0000894-T01-IM3	P-0000913-T02-IM5	P-0000978-T02-IM5	P-0001093-T01-IM3	P-0001121-T01-IM3	P-0001171-T01-IM3	P-0001340-T01-IM3	P-0001365-T02-IM3	P-0001385-T01-IM3	P-0001633-T01-IM3	P-0001665-T01-IM3	P-0001830-T01-IM3	P-0001836-T01-IM3	P-0001867-T01-IM3	P-0001955-T01-IM3	P-0001977-T01-IM3	P-0002028-T01-IM3	P-0002151-T01-IM3	P-0002160-T01-IM3	P-0002225-T02-IM5	P-0002247-T01-IM3	P-0002252-T01-IM3	P-0002295-T01-IM3	P-0002320-T01-IM3	P-0002351-T01-IM3	P-0002444-T01-IM3	P-0002485-T01-IM3	P-0002546-T01-IM3	P-0002559-T01-IM3	P-0002637-T01-IM3	P-0002639-T01-IM3	P-0002731-T02-IM5	P-0002751-T01-IM3	P-0002758-T01-IM3	P-0002766-T01-IM3	P-0002794-T02-IM5	P-0002806-T01-IM3	P-0002826-T01-IM3	P-0002874-T01-IM3	P-0002890-T01-IM3	P-0002905-T01-IM3	P-0002912-T01-IM3	P-0002917-T01-IM3	P-0002921-T01-IM3	P-0002965-T01-IM3	P-0002969-T01-IM3	P-0003017-T01-IM3	P-0003034-T01-IM5	P-0003119-T01-IM5	P-0003132-T01-IM5	P-0003157-T01-IM5	P-0003229-T01-IM5	P-0003275-T01-IM5	P-0003322-T01-IM5	P-0003347-T01-IM5	P-0003368-T01-IM5	P-0003495-T01-IM5	P-0003562-T02-IM5	P-0003584-T01-IM5	P-0003735-T01-IM5	P-0003738-T02-IM5	P-0003782-T01-IM5	P-0003869-T01-IM5	P-0003913-T01-IM3	P-0003964-T01-IM3	P-0003970-T02-IM5	P-0004020-T01-IM5	P-0004054-T01-IM5	P-0004232-T01-IM5	P-0004279-T01-IM5	P-0004436-T01-IM5	P-0004442-T01-IM5	P-0004463-T01-IM5	P-0004472-T01-IM5	P-0004495-T01-IM5	P-0004517-T01-IM5	P-0004588-T01-IM5	P-0004701-T01-IM5	P-0004752-T01-IM5	P-0004759-T01-IM5	P-0004827-T01-IM5	P-0004890-T01-IM5	P-0004961-T02-IM5	P-0004996-T02-IM5	P-0005048-T01-IM5	P-0005115-T01-IM5	P-0005289-T01-IM5	P-0005295-T01-IM5	P-0005320-T01-IM5	P-0005510-T01-IM5	P-0005629-T02-IM5	P-0005721-T01-IM5	P-0005752-T01-IM5	P-0005792-T01-IM5	P-0005848-T01-IM5	P-0005898-T01-IM5	P-0005975-T01-IM5	P-0005981-T01-IM5	P-0006047-T02-IM5	P-0006071-T01-IM5	P-0006084-T01-IM5	P-0006114-T02-IM5	P-0006294-T01-IM5	P-0006312-T02-IM5	P-0006330-T01-IM5	P-0006343-T01-IM5	P-0006364-T01-IM5	P-0006415-T01-IM5	P-0006540-T01-IM5	P-0006642-T01-IM5	P-0006724-T01-IM5	P-0006768-T02-IM5	P-0006895-T01-IM5	P-0006954-T01-IM5	P-0006993-T01-IM5	P-0007084-T02-IM5	P-0007088-T02-IM5	P-0007101-T02-IM5	P-0007121-T01-IM5	P-0007123-T01-IM5	P-0007278-T01-IM5	P-0007418-T01-IM5	P-0007420-T01-IM5	P-0007493-T02-IM5	P-0007582-T01-IM5	P-0007583-T01-IM5	P-0007597-T01-IM5	P-0007619-T01-IM5	P-0007633-T01-IM5	P-0007757-T02-IM5	P-0007861-T01-IM5	P-0007879-T01-IM5	P-0007977-T01-IM5	P-0007978-T01-IM5	P-0008176-T01-IM5	P-0008239-T01-IM5	P-0008295-T01-IM5	P-0008322-T01-IM5	P-0008370-T01-IM5	P-0008406-T01-IM5	P-0008442-T02-IM5	P-0008715-T01-IM5	P-0008786-T01-IM5	P-0008848-T01-IM5	P-0008851-T01-IM5	P-0008935-T01-IM5	P-0008944-T01-IM5	P-0008976-T01-IM5	P-0009080-T01-IM5	P-0009202-T01-IM5	P-0009256-T01-IM5	P-0009274-T01-IM5	P-0009293-T01-IM5	P-0009319-T01-IM5	P-0009379-T01-IM5	P-0009419-T01-IM5	P-0009426-T01-IM5	P-0009469-T01-IM5	P-0009473-T01-IM5	P-0009501-T01-IM5	P-0009505-T01-IM5	P-0009521-T01-IM5	P-0009586-T01-IM5	P-0009655-T01-IM5	P-0009680-T01-IM5	P-0009763-T01-IM5	P-0009764-T01-IM5	P-0009833-T01-IM5	P-0009959-T01-IM5	P-0010024-T01-IM5	P-0010025-T01-IM5	P-0010065-T01-IM5	P-0010213-T01-IM5	P-0010256-T01-IM5	P-0010636-T01-IM5	P-0010648-T01-IM5	P-0010715-T01-IM5	P-0010736-T01-IM5	P-0010760-T01-IM5	P-0010840-T02-IM5	P-0010891-T01-IM5	P-0010986-T01-IM5	P-0011033-T01-IM5	P-0011036-T01-IM5	P-0011149-T01-IM5	P-0011180-T01-IM5	P-0011192-T01-IM5	P-0011244-T01-IM5	P-0011254-T01-IM5	P-0011499-T01-IM5	P-0011541-T01-IM5	P-0011559-T01-IM5	P-0012076-T01-IM5	P-0012192-T02-IM5	P-0012373-T01-IM5	P-0012427-T01-IM5	P-0012629-T01-IM5	P-0012729-T01-IM5	P-0012817-T01-IM5	P-0012846-T01-IM5	P-0012849-T01-IM5	P-0012866-T01-IM5	P-0012908-T01-IM5	P-0012931-T01-IM5	P-0013653-T01-IM5	P-0014172-T01-IM5	P-0014269-T01-IM6	P-0014451-T01-IM6	P-0014529-T01-IM6	P-0014599-T01-IM6	P-0014786-T01-IM6	P-0014818-T01-IM6	P-0015078-T01-IM6	P-0015296-T01-IM6	P-0015531-T01-IM6	P-0015556-T01-IM6	P-0015758-T01-IM6	P-0015771-T01-IM6	P-0015780-T01-IM6	P-0015785-T01-IM6	P-0015984-T01-IM6	P-0016033-T01-IM6	P-0016046-T01-IM6	P-0016646-T01-IM6	P-0016809-T01-IM6
11q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.414	0.270	0.000	0.000	0.000	0.323	0.000	0.000	0.000	-0.496	-0.559	0.000	0.000	0.000	0.000	-0.360	0.000	-0.508	0.000	0.000	0.000	-0.311	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.288	0.000	-0.323	-0.622	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.448	0.000	0.000	0.000	0.000	0.000	0.000	0.272	0.000	0.000	0.368	0.000	0.000	0.000	0.000	0.614	0.000	0.000	0.000	0.000	0.000	0.261	-0.400	0.000	0.000	0.000	0.428	0.000	-0.760	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.470	0.000	0.000	0.000	0.000	0.000	0.000	-0.783	0.000	0.000	0.000	0.000	0.000	-0.690	-0.478	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.789	0.000	0.000	0.000	0.000	0.882	0.000	0.000	0.000	0.000	0.556	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.533	0.000	-0.271	-0.278	0.000	0.946	0.000	0.000	0.000	0.000	0.000	0.000	-0.548	0.000	0.000	0.000	-0.418	0.000	0.000	0.000	-0.341	0.000	0.405	0.000	0.000	0.000	0.476	0.000	0.000	-0.359	0.000	0.308	0.000	-0.319	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	-0.330	0.000	-0.300	0.390	0.000	0.000	0.000	0.000	0.257	-0.391	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.660	0.000	0.000	0.471	-0.490	0.000	-0.481	0.000	0.000	0.000	0.000	0.000	0.912	0.000	0.000	-0.421	0.000
12p	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.269	0.000	0.000	0.000	0.000	0.000	-0.375	0.270	0.000	0.000	0.362	0.000	0.000	0.000	-0.267	0.000	0.265	0.252	0.000	0.000	0.000	0.856	0.000	0.550	0.000	0.000	0.000	0.311	0.000	0.000	0.000	-0.555	0.000	0.000	0.000	0.000	-0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.334	-0.423	0.000	0.000	0.000	0.000	0.592	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.000	0.000	0.098	0.369	0.000	0.000	0.000	0.027	0.635	0.357	0.000	0.000	0.000	0.000	0.000	0.283	0.000	0.000	0.293	0.000	0.000	0.000	0.597	0.000	-0.437	0.000	0.000	-0.305	0.893	0.000	0.785	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.396	-0.433	0.000	0.000	0.432	0.000	0.000	0.000	0.000	-0.285	0.480	0.298	0.000	0.000	0.000	0.000	0.000	0.654	0.000	0.000	0.000	0.291	0.000	0.000	0.616	1.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.258	0.000	0.545	0.000	-0.558	0.000	0.000	0.000	-0.626	0.000	0.000	0.000	0.000	0.606	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.873	0.000	0.000	-0.369	0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.337	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.330	0.886	0.000	0.000	0.000	0.000	0.000	0.938	0.000	0.000	0.661	0.000	0.314	0.000	0.000	0.000	0.000	0.738	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.311	1.141	0.000	0.000	-0.317	0.000
12q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.451	0.000	0.000	0.000	-0.400	0.000	-0.375	0.270	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.265	0.252	0.000	0.000	0.000	0.000	0.000	0.550	0.000	0.000	0.000	0.311	0.000	0.000	0.000	0.645	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.000	0.000	-0.335	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.893	0.000	0.785	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.396	0.000	0.000	0.000	0.432	0.000	0.000	0.000	0.000	0.000	0.480	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.291	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.545	0.000	0.000	0.000	0.000	0.000	-0.626	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.382	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.873	0.000	0.000	0.000	0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.337	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.314	0.000	0.000	0.000	0.435	0.000	0.000	0.457	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
13q	-0.378	-0.508	0.000	-0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.286	-0.434	0.000	-0.285	0.000	-0.420	0.000	-0.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.251	-0.490	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.324	0.000	0.000	0.000	-0.488	0.000	-0.340	0.000	0.000	0.000	0.000	0.000	0.000	-0.670	-0.260	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.284	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.255	-0.318	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	-0.372	0.000	0.000	-0.507	-0.378	0.000	0.000	0.000	0.000	0.000	-0.290	0.000	-0.450	0.000	-0.540	0.000	-0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.814	-0.310	0.000	0.000	0.000	0.000	0.000	0.326	0.000	0.000	-0.346	0.000	0.000	0.000	0.000	0.000	0.000	1.132	-0.370	0.000	0.000	0.000	0.000	0.000	-0.609	0.000	0.000	-0.260	-0.362	-0.432	0.000	-0.287	-0.316	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	-0.252	0.000	-0.274	3.657	0.000	0.000	-0.281	-0.595	0.000	-0.765	0.000	0.000	0.000	0.341	0.000	0.000	0.000	0.000	-0.266	-0.342	0.000	0.000	-0.293	0.000	0.000	0.000	0.000	-0.432	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.329	0.000	0.000	0.000	-0.386	0.000	0.000	0.000	0.000	0.000	0.000	-0.255	0.000	0.000	-0.378	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.265	0.000	0.000	0.000	0.000	0.000	0.000	1.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.285	0.315	0.000	0.000
14q	0.455	-0.294	0.275	0.000	0.000	0.000	0.000	0.000	-0.253	0.000	0.000	0.000	0.000	-0.348	0.000	-0.364	0.000	-0.379	0.000	0.000	-0.396	0.000	0.000	0.000	-0.374	0.000	0.250	0.000	0.000	-0.651	0.000	0.321	0.000	0.000	0.000	0.000	0.538	0.634	0.327	0.000	-0.333	0.000	0.000	0.000	0.000	0.000	-0.263	0.000	0.000	0.000	0.000	0.000	0.357	-0.510	0.419	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.432	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.379	0.000	0.000	0.000	0.000	0.279	0.611	0.000	0.000	0.000	0.000	0.437	0.748	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.531	0.000	0.000	-0.300	0.000	0.000	-0.740	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.362	0.000	0.000	0.000	0.000	1.213	0.000	0.000	0.000	0.597	0.309	0.000	0.000	-0.660	0.000	0.000	0.000	0.348	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.279	0.348	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.585	0.000	0.000	-0.315	0.000	0.000	0.076	0.000	0.387	0.000	0.000	0.000	0.000	0.000	0.000	0.436	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.330	0.000	0.000	0.000	0.000	0.000	-0.326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.351	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.278	1.528	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.634	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
15q	0.000	-0.505	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.411	0.000	0.000	-0.273	0.000	0.000	0.000	0.000	0.000	0.000	-0.266	0.000	-0.271	0.000	0.000	0.000	0.000	0.000	0.000	-0.551	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.477	0.000	0.000	0.000	0.695	0.000	0.000	0.000	-0.306	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.459	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.385	0.000	-0.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.496	0.000	-0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.478	0.000	0.000	-0.274	0.000	0.000	0.000	0.000	0.000	0.000	-0.289	-0.281	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.651	0.000	-0.293	-0.299	-0.300	-0.277	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.269	0.000	-0.362	0.000	0.136	0.000	0.000	0.000	-1.066	0.000	0.000	0.000	-0.659	-0.253	0.000	0.000	0.000	-0.274	0.000	0.000	0.000	0.000	0.000	-0.269	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.349	0.000	0.000	0.000	0.000	-0.294	-0.367	0.000	0.000	0.000	0.000	0.000	0.000	-0.384	0.306	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.354	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.260	0.000	0.000	-0.312	0.000	0.000	0.000	0.000	0.000	0.000	-0.298	-0.279	0.000	0.000	0.000	0.000	0.000	0.000	0.366	-0.290	0.000	0.000	0.000
16p	0.000	-0.363	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.365	0.265	0.000	0.000	0.364	0.000	0.000	0.000	0.000	0.000	0.573	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.401	0.000	0.000	0.000	-0.280	0.000	0.000	0.000	0.719	0.450	0.000	0.000	0.000	0.000	0.000	0.000	0.665	0.000	-0.019	0.000	0.388	0.000	0.000	0.000	0.000	0.000	0.000	0.288	0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.651	0.000	0.000	0.281	0.000	-0.502	0.836	0.217	0.257	0.000	0.000	0.423	0.000	0.000	0.000	0.000	0.000	-0.477	0.000	0.330	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.300	0.334	0.372	0.000	0.000	0.000	0.000	0.743	0.000	0.681	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.318	0.806	0.000	0.000	0.000	0.727	-0.140	0.000	0.000	0.302	0.000	0.000	0.000	0.466	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.923	0.000	-0.283	0.000	0.000	0.000	0.000	0.000	0.559	0.000	0.000	-0.205	0.000	0.406	0.000	0.000	-0.355	0.000	0.000	0.000	0.293	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.715	0.312	0.000	0.000	0.000	0.000	0.000	0.351	0.000	0.000	0.000	0.000	-0.328	0.000	0.000	0.000	-0.568	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.485	0.000	0.563	0.000	0.000	0.000	0.000	0.000	0.000	0.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.478	0.277	0.251	0.000	0.000	-0.509	0.000	0.000	0.000	0.299	0.436	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.529	-0.308	0.285	0.000	0.000
16q	0.000	-0.363	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.364	0.000	0.000	0.000	0.000	0.000	-0.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.459	0.000	0.000	0.000	-0.280	0.000	0.000	-0.272	-0.489	0.450	0.000	0.000	0.000	0.000	0.000	0.000	-0.386	0.264	-0.344	0.000	0.388	0.000	0.000	0.000	-0.278	0.000	0.000	0.288	0.426	0.000	0.000	0.000	0.000	0.000	-0.337	0.000	-0.388	0.000	0.000	0.000	0.000	0.444	0.000	0.000	0.444	0.000	0.000	0.000	0.000	-0.387	0.000	0.000	0.281	0.000	-0.502	0.000	-0.526	-0.464	0.000	0.000	-0.297	0.000	-0.719	0.000	0.000	0.000	-0.477	0.000	0.000	0.000	-0.757	0.000	-0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.300	0.000	-0.296	0.000	0.000	0.000	0.000	0.743	0.000	0.000	0.000	0.000	0.000	0.000	-0.648	0.000	0.000	0.318	0.504	0.000	0.000	0.000	-0.486	-0.579	0.000	0.000	0.000	0.000	-0.725	0.000	0.466	-0.363	0.000	0.000	0.000	0.000	0.000	0.000	0.923	0.000	-0.283	0.000	0.000	0.599	0.000	0.000	1.417	0.000	1.106	-0.675	0.000	0.406	0.000	0.000	-0.355	0.000	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.000	-0.342	0.715	0.000	0.000	0.000	0.000	-0.278	0.000	0.287	0.000	0.000	0.000	-0.409	-0.328	0.000	0.000	0.000	-0.568	-0.402	0.000	0.000	0.000	0.000	0.000	0.000	0.485	0.000	0.563	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.743	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.277	0.251	0.000	0.000	-0.509	0.000	0.000	0.000	0.299	0.436	0.000	0.000	0.000	-0.583	0.000	0.000	0.000	0.000	0.000	0.000	-0.308	0.000	0.000	0.000
17p	0.000	-0.573	-0.275	-0.534	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.413	0.000	0.000	0.000	-0.363	0.000	-0.420	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.680	0.000	-0.311	0.000	0.000	0.000	0.000	0.000	-0.377	-0.288	0.000	0.325	0.000	0.000	0.000	-0.454	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.517	0.000	0.325	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.279	-0.392	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.694	0.000	0.000	0.000	0.000	-0.344	-0.651	0.000	0.000	0.000	0.000	-0.449	-0.411	0.000	0.285	0.000	0.000	0.000	-0.555	0.000	0.000	0.000	-0.346	0.000	-0.362	-0.280	-0.682	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.771	0.000	0.000	0.000	0.000	0.000	0.000	0.537	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.324	0.000	0.000	0.000	0.000	0.000	-0.263	0.000	0.000	0.000	0.000	0.876	0.000	-0.348	-0.265	0.400	-0.326	0.000	0.000	0.000	0.000	0.000	0.000	-0.350	0.000	0.000	0.000	-0.549	0.000	0.131	0.000	0.000	0.602	-0.731	0.000	0.000	0.000	-1.293	-0.626	-0.325	0.000	1.073	-0.309	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.479	-0.331	0.000	0.000	0.000	0.000	-0.398	0.000	0.000	-0.372	0.000	0.305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.321	-0.485	-0.326	0.000	0.000	0.000	0.000	0.000	0.000	-0.333	0.000	0.000	1.050	0.000	0.000	0.000	0.000	0.000	0.000	0.785	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.714	0.000	0.000	0.000	0.000	0.000	-0.596	0.000	0.000	0.000	0.000	-0.458	0.000	-0.253	0.000	0.000	0.000
17q	0.431	-0.040	0.000	0.000	0.000	0.000	-0.291	0.000	0.000	0.000	0.000	0.000	0.000	1.148	0.000	0.000	0.000	0.323	0.000	-0.311	0.325	0.000	0.000	0.000	0.000	0.000	0.000	0.315	0.000	0.000	0.000	0.000	0.000	0.197	0.000	0.000	0.000	0.000	0.000	0.000	0.325	0.000	0.482	0.000	0.595	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.325	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.693	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.292	0.282	0.000	0.000	0.312	0.000	0.346	0.000	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.771	0.000	0.000	0.000	0.000	0.000	0.000	0.537	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.042	0.334	0.000	0.000	0.000	0.491	0.000	0.411	0.000	0.000	0.000	0.876	0.000	0.000	0.983	0.400	-0.326	0.000	0.000	0.000	0.000	0.465	0.000	0.532	0.000	0.000	0.618	-0.549	0.000	0.400	0.000	0.000	0.602	0.000	0.000	0.000	0.000	-0.887	-0.626	0.000	0.000	1.719	0.316	0.000	0.000	0.000	0.000	0.545	0.000	0.000	0.877	0.682	0.305	0.000	0.000	0.000	0.449	0.368	0.000	0.000	0.000	0.000	0.612	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.388	-0.485	0.441	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.050	0.000	0.000	0.000	0.000	0.000	0.000	0.785	0.000	0.000	0.000	0.298	0.000	0.000	0.523	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.281	0.000	0.000	0.000
