Chromosome Arm	MDL15-1352	MDL15-2291	MDL16-2187	MDL16-2366	MDL16-2565	MDL16-2571	MDL16-3157	MDL16-3467	MDL16-3681	MDL16-372	MDL16-3785	MDL16-4031	MDL16-4342	MDL16-4473	MDL16-4671	MDL16-4853	MDL16-5150	MDL16-5262	MDL17-137	MDL17-1665	MDL17-1897	MDL17-2054	MDL17-2071	MDL17-2084	MDL17-2385	MDL17-2416	MDL17-2508	MDL17-2917	MDL17-3055	MDL17-3392	MDL17-3439	MDL17-3683	MDL17-377	MDL17-379	MDL17-3883	MDL17-5117	MDL17-5120	MDL17-5335	MDL17-681	MDL17-682	MDL17-911	MDL18-1257	MDL18-1935	MDL18-2281	MDL18-2288	MDL18-2673	MDL18-3105	MDL18-337	MDL18-339	MDL18-473	MDL18-604	MDL18-93
12q	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.421	0.806	0.000	0.000	0.000	0.000	0.000	0.311	-0.272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.411	0.314	0.274	0.000	0.000	0.000	0.314	0.000	0.000	0.424	0.000	0.000	0.298	0.326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.319	0.000	0.000	0.362
13q	0.000	0.000	0.000	0.000	0.000	-0.421	0.000	0.000	0.825	0.000	0.000	-0.487	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.364	0.000	-0.792	0.000	-0.266	-0.394	0.000	0.262	0.000	0.000	0.000	0.517	-0.483	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.708	-0.417	0.000	0.000	0.000	0.000	0.336	0.000
14q	0.000	0.000	0.000	0.549	0.000	0.428	0.000	0.000	0.773	0.538	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.269	0.000	0.000	0.000	0.000	0.000	0.661	0.000	0.000	0.000	-0.427	0.275	0.000	0.271	0.000	0.000	0.000	0.000	0.329	0.000	0.000	0.000	-0.540	0.000	0.000	0.000	0.252	0.368	0.000	0.000	0.330	0.000	0.000	0.000
15q	0.000	0.000	0.000	0.000	0.000	-0.518	0.000	0.000	-0.417	0.000	0.000	-0.492	0.000	0.000	0.458	-0.289	0.000	0.000	-0.297	0.000	0.000	-0.256	0.000	0.000	-0.674	0.000	-0.380	0.000	0.000	0.000	0.000	-0.770	0.000	0.000	0.000	0.000	-0.555	0.000	0.000	0.000	-0.267	0.000	0.000	0.330	-0.483	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16p	-0.261	-0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.517	0.000	0.000	-0.407	-0.313	-0.406	0.000	0.000	0.000	0.000	-0.336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.255	0.000	-0.373	0.000	0.415	0.000	-0.520	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.309	0.000	0.000	0.000	0.000	0.000
16q	-0.261	-0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.517	0.000	0.000	-0.407	0.000	-0.406	0.000	0.000	0.000	0.000	-0.336	0.000	0.000	0.000	0.550	0.000	0.000	0.000	-0.255	0.000	-0.373	0.000	0.000	0.000	0.000	-0.269	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.309	0.000	0.000	0.000	0.000	0.000
17p	0.000	-0.338	0.000	0.000	0.000	-0.551	0.000	0.000	0.666	0.530	0.000	0.000	0.000	-0.260	0.398	-0.293	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.370	0.354	0.000	-0.409	0.000	0.000	-0.732	0.000	-0.382	0.000	-0.289	-0.311	0.000	0.000	-0.277	-0.284	0.000	0.000	0.000	-0.251	-0.571	0.000	0.000	0.000	0.000	0.000	0.426
17q	0.000	-0.338	0.000	0.000	0.000	0.000	0.000	0.000	0.666	0.530	0.000	1.506	0.000	0.000	0.398	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.354	0.000	0.000	0.000	0.000	0.310	0.000	0.000	0.000	-0.289	0.691	0.000	0.000	0.638	0.000	0.000	0.000	0.000	0.705	0.000	0.285	0.000	0.000	0.000	0.000	0.426
18p	0.000	0.000	0.000	-0.595	0.000	-0.453	0.000	0.000	0.615	2.199	0.000	0.000	0.000	0.000	-0.258	0.000	0.000	0.000	0.000	-0.313	0.000	0.000	0.000	0.000	0.000	-0.337	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.497	0.000	0.000	-0.509	0.000	0.000	0.000	0.000	0.000	0.290	0.000	-0.533	0.000	0.000	0.000	0.000	0.000	0.000	0.000
18q	0.000	0.000	0.000	-0.595	0.000	-0.453	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.000	-0.258	0.000	0.000	0.000	0.000	-0.313	0.000	0.000	0.000	0.000	0.000	-0.337	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.497	0.000	-0.686	-0.509	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.533	0.000	0.000	0.000	0.000	0.000	0.000	0.000
